config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.5137;1.407206;0.000222222;7;31500;singleobj-mzn-gurobi-LB-noUB;1;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.892253968;28106;1;1;39;17;9;7;0.5473;1.97208;0.000222222;7;31500;singleobj-mzn-gurobiWS-LB-noUB;1;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.000222222;7;1;1;36;15;9;7;0.09;0.18;0.000222222;7;31500;singleobj-opl-reprjob-LB-noUB;1;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000222222;7;1;1;36;15;9;7;0.06;0.08;0.000222222;7;31500;singleobj-opl-reprjob-LB-WS-noUB;1;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.639;1.218444;0.001079365;34;31500;singleobj-mzn-gurobi-LB-noUB;1;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.983047619;30966;1;1;34;15;10;7;0.6376;1.027783;0.001079365;34;31500;singleobj-mzn-gurobiWS-LB-noUB;1;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.001079365;34;1;1;34;17;10;7;0.04;0.07;0.001079365;34;31500;singleobj-opl-reprjob-LB-noUB;1;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.001079365;34;1;1;34;15;9;7;0.04;0.08;0.001079365;34;31500;singleobj-opl-reprjob-LB-WS-noUB;1;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.528;1.199491;0.00047619;15;31500;singleobj-mzn-gurobi-LB-noUB;1;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.986857143;31086;1;1;39;15;10;7;0.5251;0.902924;0.00047619;15;31500;singleobj-mzn-gurobiWS-LB-noUB;1;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.00047619;15;1;1;36;15;9;7;0.07;0.09;0.00047619;15;31500;singleobj-opl-reprjob-LB-noUB;1;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.00047619;15;1;1;34;15;9;7;0.08;0.09;0.00047619;15;31500;singleobj-opl-reprjob-LB-WS-noUB;1;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.801904762;25260;1;1;45;18;8;8;0.4342;0.798999;0.000253968;8;31500;singleobj-mzn-gurobi-LB-noUB;1;tardiness
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-tardiness-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.803174603;25300;1;1;45;22;8;10;0.4752;1.141761;0.000253968;8;31500;singleobj-mzn-gurobiWS-LB-noUB;1;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.000253968;8;1;1;45;26;8;10;0.22;0.24;0.000253968;8;31500;singleobj-opl-reprjob-LB-noUB;1;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000253968;8;1;1;45;26;8;10;0.24;0.27;0.000253968;8;31500;singleobj-opl-reprjob-LB-WS-noUB;1;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn;1;0.97968254;24688;1;1;48;14;10;6;0.5255;1.422552;0.000238095;6;25200;singleobj-mzn-gurobi-LB-noUB;2;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn ../../instancesUC1withLB/mzn/warmstart/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.97968254;24688;1;1;48;14;10;6;0.5408;1.62435;0.000238095;6;25200;singleobj-mzn-gurobiWS-LB-noUB;2;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/2_oven_scheduling.cpoptimizer_instance_1212-10.32.37.dat;1;0.000238095;6;1;1;47;14;10;6;0.15;0.37;0.000238095;6;25200;singleobj-opl-reprjob-LB-noUB;2;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000238095;6;1;1;47;12;10;6;0.01;0.04;0.000238095;6;25200;singleobj-opl-reprjob-LB-WS-noUB;2;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn;1;0.977936508;24644;1;1;47;10;10;6;1.0149;1.60012;0.001865079;47;25200;singleobj-mzn-gurobi-LB-noUB;2;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn ../../instancesUC1withLB/mzn/warmstart/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.97984127;24692;1;1;47;16;10;6;1.3697;1.83747;0.001865079;47;25200;singleobj-mzn-gurobiWS-LB-noUB;2;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/2_oven_scheduling.cpoptimizer_instance_1212-10.32.37.dat;1;0.001865079;47;1;1;47;14;10;6;0.04;0.07;0.001865079;47;25200;singleobj-opl-reprjob-LB-noUB;2;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.001865079;47;1;1;47;14;10;6;0.04;0.06;0.001865079;47;25200;singleobj-opl-reprjob-LB-WS-noUB;2;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn;1;0.978412698;24656;1;1;48;10;10;6;0.6592;1.028912;0.000396825;10;25200;singleobj-mzn-gurobi-LB-noUB;2;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn ../../instancesUC1withLB/mzn/warmstart/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.978412698;24656;1;1;48;10;10;6;0.6747;1.042836;0.000396825;10;25200;singleobj-mzn-gurobiWS-LB-noUB;2;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/2_oven_scheduling.cpoptimizer_instance_1212-10.32.37.dat;1;0.000396825;10;1;1;47;10;10;6;1.08;1.1;0.000396825;10;25200;singleobj-opl-reprjob-LB-noUB;2;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000396825;10;1;1;47;10;10;6;1.09;1.11;0.000396825;10;25200;singleobj-opl-reprjob-LB-WS-noUB;2;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn;1;0.980793651;24716;1;1;51;13;10;7;0.599;0.981578;0.000396825;10;25200;singleobj-mzn-gurobi-LB-noUB;2;tardiness
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-tardiness-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/2_oven_scheduling.minizinc_instance_1212-10.32.38.dzn ../../instancesUC1withLB/mzn/warmstart/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.984285714;24804;1;1;57;15;10;7;0.396;0.796024;0.000396825;10;25200;singleobj-mzn-gurobiWS-LB-noUB;2;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/2_oven_scheduling.cpoptimizer_instance_1212-10.32.37.dat;1;0.000396825;10;1;1;56;15;10;7;0;0.02;0.000396825;10;25200;singleobj-opl-reprjob-LB-noUB;2;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/2_warm_start_02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000396825;10;1;1;51;13;10;7;0;0.02;0.000396825;10;25200;singleobj-opl-reprjob-LB-WS-noUB;2;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn;1;0.226507937;1427;1;1;53;5;2;9;0.521;1.495931;0.001428571;9;6300;singleobj-mzn-gurobi-LB-noUB;3;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn ../../instancesUC1withLB/mzn/warmstart/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.505079365;3182;1;1;44;2;5;7;0.6467;1.72996;0.001111111;7;6300;singleobj-mzn-gurobiWS-LB-noUB;3;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/3_oven_scheduling.cpoptimizer_instance_1212-10.32.39.dat;1;0.001111111;7;1;1;43;3;9;7;0.17;0.4;0.001111111;7;6300;singleobj-opl-reprjob-LB-noUB;3;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.001111111;7;1;1;43;3;4;7;0.04;0.08;0.001111111;7;6300;singleobj-opl-reprjob-LB-WS-noUB;3;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn;1;0.226507937;1427;1;1;53;5;2;9;0.5101;1.110303;0.008412698;53;6300;singleobj-mzn-gurobi-LB-noUB;3;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn ../../instancesUC1withLB/mzn/warmstart/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.78968254;4975;1;1;43;1;8;7;1.4998;1.85657;0.006825397;43;6300;singleobj-mzn-gurobiWS-LB-noUB;3;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/3_oven_scheduling.cpoptimizer_instance_1212-10.32.39.dat;1;0.006825397;43;1;1;43;3;7;7;0.09;0.11;0.006825397;43;6300;singleobj-opl-reprjob-LB-noUB;3;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.006825397;43;1;1;43;3;4;7;0.05;0.08;0.006825397;43;6300;singleobj-opl-reprjob-LB-WS-noUB;3;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn;1;0.228095238;1437;1;1;57;3;2;9;0.45;0.803482;0.00047619;3;6300;singleobj-mzn-gurobi-LB-noUB;3;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn ../../instancesUC1withLB/mzn/warmstart/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.795396825;5011;1;1;52;1;8;8;0.6653;1.057689;0.00015873;1;6300;singleobj-mzn-gurobiWS-LB-noUB;3;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/3_oven_scheduling.cpoptimizer_instance_1212-10.32.39.dat;1;0.00015873;1;1;1;56;1;8;9;38.68;38.71;0.00015873;1;6300;singleobj-opl-reprjob-LB-noUB;3;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.00015873;1;1;1;43;1;6;7;43.91;43.93;0.00015873;1;6300;singleobj-opl-reprjob-LB-WS-noUB;3;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn;1;0.226507937;1427;1;1;53;5;2;9;0.4346;0.792054;0.00031746;2;6300;singleobj-mzn-gurobi-LB-noUB;3;tardiness
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-tardiness-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/3_oven_scheduling.minizinc_instance_1212-10.32.40.dzn ../../instancesUC1withLB/mzn/warmstart/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.22968254;1447;1;1;58;5;2;10;0.3855;0.755232;0.00031746;2;6300;singleobj-mzn-gurobiWS-LB-noUB;3;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/3_oven_scheduling.cpoptimizer_instance_1212-10.32.39.dat;1;0.00031746;2;1;1;58;4;2;10;0.02;0.06;0.00031746;2;6300;singleobj-opl-reprjob-LB-noUB;3;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/3_warm_start_03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.00031746;2;1;1;58;5;2;10;0.01;0.03;0.00031746;2;6300;singleobj-opl-reprjob-LB-WS-noUB;3;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn;1;0.492380952;3102;1;1;22;7;5;3;0.5279;1.508669;0.00047619;3;6300;singleobj-mzn-gurobi-LB-noUB;4;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn ../../instancesUC1withLB/mzn/warmstart/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.589206349;3712;1;1;24;8;6;3;0.4867;1.54426;0.00047619;3;6300;singleobj-mzn-gurobiWS-LB-noUB;4;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/4_oven_scheduling.cpoptimizer_instance_1212-10.32.41.dat;1;0.00047619;3;1;1;22;8;6;3;0.2;0.43;0.00047619;3;6300;singleobj-opl-reprjob-LB-noUB;4;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.00047619;3;1;1;24;8;6;3;0.02;0.06;0.00047619;3;6300;singleobj-opl-reprjob-LB-WS-noUB;4;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn;1;0.492380952;3102;1;1;22;7;5;3;0.4962;1.09683;0.003492063;22;6300;singleobj-mzn-gurobi-LB-noUB;4;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn ../../instancesUC1withLB/mzn/warmstart/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.587936508;3704;1;1;22;8;6;3;0.3939;0.766633;0.003492063;22;6300;singleobj-mzn-gurobiWS-LB-noUB;4;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/4_oven_scheduling.cpoptimizer_instance_1212-10.32.41.dat;1;0.003492063;22;1;1;22;8;8;3;0.04;0.08;0.003492063;22;6300;singleobj-opl-reprjob-LB-noUB;4;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.003492063;22;1;1;22;8;6;3;0;0.03;0.003492063;22;6300;singleobj-opl-reprjob-LB-WS-noUB;4;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn;1;0.492380952;3102;1;1;22;7;5;3;0.4621;0.834917;0.001111111;7;6300;singleobj-mzn-gurobi-LB-noUB;4;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/4_oven_scheduling.minizinc_instance_1212-10.32.41.dzn ../../instancesUC1withLB/mzn/warmstart/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.874603175;5510;1;1;24;7;9;3;0.3921;0.790545;0.001111111;7;6300;singleobj-mzn-gurobiWS-LB-noUB;4;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/4_oven_scheduling.cpoptimizer_instance_1212-10.32.41.dat;1;0.001111111;7;1;1;22;7;5;3;0.05;0.07;0.001111111;7;6300;singleobj-opl-reprjob-LB-noUB;4;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/4_warm_start_04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.001111111;7;1;1;24;7;7;3;0.01;0.03;0.001111111;7;6300;singleobj-opl-reprjob-LB-WS-noUB;4;setupcosts
